,STATION,NAME,DATE,TMAX
0,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-01,12.2
1,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-02,10.6
2,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-03,8.3
3,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-04,6.1
4,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-05,6.1
5,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-06,8.3
6,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-07,16.7
7,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-08,1.7
8,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-09,2.8
9,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-10,4.4
10,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-11,9.4
11,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-12,14.4
12,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-13,10.0
13,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-14,16.1
14,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-15,15.0
15,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-16,15.6
16,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-17,14.4
17,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-18,17.2
18,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-19,21.1
19,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-20,23.9
20,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-21,26.1
21,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-22,21.7
22,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-23,21.1
23,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-24,21.1
24,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-25,17.8
25,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-26,19.4
26,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-27,17.8
27,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-28,17.8
28,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-29,20.0
29,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-30,8.9
30,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-31,10.0
31,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-01,13.3
32,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-02,17.8
33,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-03,12.2
34,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-04,13.3
35,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-05,14.4
36,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-06,12.2
37,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-07,10.0
38,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-08,18.9
39,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-09,16.1
40,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-10,8.3
41,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-11,6.7
42,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-12,4.4
43,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-13,11.7
44,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-14,16.7
45,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-15,10.6
46,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-16,10.6
47,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-17,12.2
48,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-18,14.4
49,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-19,15.0
50,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-20,18.9
51,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-21,19.4
52,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-22,22.8
53,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-23,12.2
54,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-02-24,11.7
